iso3,country_name,renew_2005_2010
AUS,Australia,7.099999999999999
AUT,Austria,28.683333333333334
BEL,Belgium,3.983333333333333
CAN,Canada,21.650000000000002
CHE,Switzerland,19.383333333333336
CHL,Chile,30.833333333333332
COL,Colombia,30.55
CRI,Costa Rica,41.18333333333334
CZE,Czechia,8.966666666666667
DEU,Germany,9.816666666666666
DNK,Denmark,18.016666666666666
ESP,Spain,10.183333333333334
EST,Estonia,20.783333333333335
FIN,Finland,32.5
FRA,France,10.016666666666667
GBR,United Kingdom,2.2333333333333334
GRC,Greece,8.916666666666666
HUN,Hungary,9.833333333333334
IRL,Ireland,4.066666666666666
ISL,Iceland,69.86666666666666
ISR,Israel,7.766666666666667
ITA,Italy,9.833333333333334
JPN,Japan,4.383333333333334
KOR,"Korea, Rep.",1.0666666666666667
LTU,Lithuania,18.666666666666668
LUX,Luxembourg,3.1666666666666665
LVA,Latvia,34.766666666666666
MEX,Mexico,9.666666666666666
NLD,Netherlands,3.6166666666666667
NOR,Norway,57.36666666666667
NZL,New Zealand,27.46666666666667
POL,Poland,8.0
PRT,Portugal,23.233333333333334
SVK,Slovak Republic,8.166666666666666
SVN,Slovenia,18.616666666666667
SWE,Sweden,42.46666666666667
TUR,Turkiye,13.633333333333333
USA,United States,6.666666666666667
