iso3,country_name,year,gdp_growth
AUS,Australia,2000,3.9160574881715
AUS,Australia,2001,2.03145880248898
AUS,Australia,2002,3.94980535772942
AUS,Australia,2003,3.0912800997751
AUS,Australia,2004,4.21894147547516
AUS,Australia,2005,3.15548121323168
AUS,Australia,2006,2.7709261737475
AUS,Australia,2007,3.78947119882653
AUS,Australia,2008,3.62398503565633
AUS,Australia,2009,1.95484826298522
AUS,Australia,2010,2.21004795300735
AUS,Australia,2011,2.39473494330615
AUS,Australia,2012,3.95247138119184
AUS,Australia,2013,2.65445302592404
AUS,Australia,2014,2.60118978187332
AUS,Australia,2015,2.16434780647852
AUS,Australia,2016,2.75564065529868
AUS,Australia,2017,2.29331030192918
AUS,Australia,2018,2.87417039499501
AUS,Australia,2019,2.19401703622717
AUS,Australia,2020,-0.133531904304775
AUS,Australia,2021,2.00694844335034
AUS,Australia,2022,4.25304559238732
AUS,Australia,2023,3.58382100798981
AUT,Austria,2000,3.18952292988787
AUT,Austria,2001,1.31698749571339
AUT,Austria,2002,1.48436877605324
AUT,Austria,2003,1.14156504542775
AUT,Austria,2004,2.56525534067859
AUT,Austria,2005,2.32036514266782
AUT,Austria,2006,3.26933601506059
AUT,Austria,2007,3.77522468729185
AUT,Austria,2008,1.45330562142114
AUT,Austria,2009,-3.58626472551299
AUT,Austria,2010,1.80898243043663
AUT,Austria,2011,2.92746800169145
AUT,Austria,2012,0.628246239479637
AUT,Austria,2013,-0.250726423318454
AUT,Austria,2014,0.755798850316665
AUT,Austria,2015,1.30352331826198
AUT,Austria,2016,2.11721964494312
AUT,Austria,2017,2.27224992038207
AUT,Austria,2018,2.48422114080024
AUT,Austria,2019,1.75497619649288
AUT,Austria,2020,-6.31825509209936
AUT,Austria,2021,4.92309171717903
AUT,Austria,2022,5.33096379400371
AUT,Austria,2023,-0.786244288594673
BEL,Belgium,2000,3.71670510672588
BEL,Belgium,2001,1.09960362419645
BEL,Belgium,2002,1.70689430349601
BEL,Belgium,2003,1.03795518162204
BEL,Belgium,2004,3.57120671942319
BEL,Belgium,2005,2.32173792911834
BEL,Belgium,2006,2.55234087322462
BEL,Belgium,2007,3.67692462515802
BEL,Belgium,2008,0.446905130727231
BEL,Belgium,2009,-1.90644105515335
BEL,Belgium,2010,2.71031150254662
BEL,Belgium,2011,1.93115502411325
BEL,Belgium,2012,0.215803612089744
BEL,Belgium,2013,0.305494549070232
BEL,Belgium,2014,1.76554038149924
BEL,Belgium,2015,1.47416433731927
BEL,Belgium,2016,1.19350273007754
BEL,Belgium,2017,1.47446761556785
BEL,Belgium,2018,1.87796847383565
BEL,Belgium,2019,2.4428900448156
BEL,Belgium,2020,-4.7929839083518
BEL,Belgium,2021,6.25445686466593
BEL,Belgium,2022,3.9562379757933
BEL,Belgium,2023,1.71412195515242
CAN,Canada,2000,5.1385391803606
CAN,Canada,2001,1.87509810696022
CAN,Canada,2002,2.99925535017809
CAN,Canada,2003,1.80638512302554
CAN,Canada,2004,3.09236384292251
CAN,Canada,2005,3.21045439063563
CAN,Canada,2006,2.63794375007348
CAN,Canada,2007,2.04990463726786
CAN,Canada,2008,0.995406301140747
CAN,Canada,2009,-2.91508621550267
CAN,Canada,2010,3.09080634469335
CAN,Canada,2011,3.13719442170364
CAN,Canada,2012,1.75566129145483
CAN,Canada,2013,2.32581354806429
CAN,Canada,2014,2.87346677785811
CAN,Canada,2015,0.649971001734855
CAN,Canada,2016,1.03855092490855
CAN,Canada,2017,3.03383491200222
CAN,Canada,2018,2.74296344906655
CAN,Canada,2019,1.90843194590616
CAN,Canada,2020,-5.03823343468899
CAN,Canada,2021,5.95052802804381
CAN,Canada,2022,4.18903628100851
CAN,Canada,2023,1.52874550838358
CHE,Switzerland,2000,3.95871990780931
CHE,Switzerland,2001,1.57566198688916
CHE,Switzerland,2002,-0.0732172569941127
CHE,Switzerland,2003,-0.0323984255438887
