iso3,country_name,indicator,z_score,cluster_id
AUS,Australia,gdp_pc_ppp,0.2605335683596529,2
AUT,Austria,gdp_pc_ppp,0.5546589931327122,0
BEL,Belgium,gdp_pc_ppp,0.3496744091271743,0
CAN,Canada,gdp_pc_ppp,0.1977889615857276,2
CHE,Switzerland,gdp_pc_ppp,1.3406884274008448,2
CHL,Chile,gdp_pc_ppp,-1.0938352149812731,1
COL,Colombia,gdp_pc_ppp,-1.6120141491946902,1
CRI,Costa Rica,gdp_pc_ppp,-1.29854770410699,1
CZE,Czechia,gdp_pc_ppp,-0.2666429537843047,1
DEU,Germany,gdp_pc_ppp,0.5216734721558792,0
DNK,Denmark,gdp_pc_ppp,0.5656177404815053,2
ESP,Spain,gdp_pc_ppp,-0.2602561077085875,0
EST,Estonia,gdp_pc_ppp,-0.5191132557419389,1
FIN,Finland,gdp_pc_ppp,0.1506030676330833,0
FRA,France,gdp_pc_ppp,0.0440906663530726,0
GBR,United Kingdom,gdp_pc_ppp,0.0899446704310927,2
GRC,Greece,gdp_pc_ppp,-0.837772739768441,0
HUN,Hungary,gdp_pc_ppp,-0.7485962065800108,1
IRL,Ireland,gdp_pc_ppp,1.971723005198256,1
ISL,Iceland,gdp_pc_ppp,0.5897465013251568,2
ISR,Israel,gdp_pc_ppp,-0.2894478450380189,2
ITA,Italy,gdp_pc_ppp,-0.1263970291227965,0
JPN,Japan,gdp_pc_ppp,-0.1513596976982161,0
KOR,"Korea, Rep.",gdp_pc_ppp,-0.0549591373265503,1
LTU,Lithuania,gdp_pc_ppp,-0.5582744965531022,1
LUX,Luxembourg,gdp_pc_ppp,3.826007841326653,2
LVA,Latvia,gdp_pc_ppp,-0.8911444094034309,1
MEX,Mexico,gdp_pc_ppp,-1.304077024690916,1
NLD,Netherlands,gdp_pc_ppp,0.6470491538384703,2
NOR,Norway,gdp_pc_ppp,1.1298123348279496,2
NZL,New Zealand,gdp_pc_ppp,-0.1530057162138247,2
POL,Poland,gdp_pc_ppp,-0.7375764403985153,1
PRT,Portugal,gdp_pc_ppp,-0.5944748909662265,0
SVK,Slovak Republic,gdp_pc_ppp,-0.7157351421610596,1
SVN,Slovenia,gdp_pc_ppp,-0.4300015257457485,0
SWE,Sweden,gdp_pc_ppp,0.4232986188590538,2
TUR,Turkiye,gdp_pc_ppp,-0.9016138761497796,1
USA,United States,gdp_pc_ppp,0.881934131298137,1
AUS,Australia,life_exp,0.7898451329225894,2
AUT,Austria,life_exp,0.4192751516712952,0
BEL,Belgium,life_exp,0.3780600029903555,0
CAN,Canada,life_exp,0.5310139992062876,2
CHE,Switzerland,life_exp,1.1437458762629351,2
CHL,Chile,life_exp,-0.0514274912464432,1
COL,Colombia,life_exp,-1.5317858744308983,1
CRI,Costa Rica,life_exp,-0.1281078174212355,1
CZE,Czechia,life_exp,-0.5737351638814868,1
DEU,Germany,life_exp,0.1749151146029654,0
DNK,Denmark,life_exp,0.1939656722154927,2
ESP,Spain,life_exp,1.0684595380057402,0
EST,Estonia,life_exp,-0.9212246618714436,1
FIN,Finland,life_exp,0.433929426757849,0
FRA,France,life_exp,0.7880133485367715,0
GBR,United Kingdom,life_exp,0.2638189379843281,2
GRC,Greece,life_exp,0.3498505234487387,0
HUN,Hungary,life_exp,-1.70083209647625,1
IRL,Ireland,life_exp,0.5775413226061098,1
ISL,Iceland,life_exp,0.81695554183271,2
ISR,Israel,life_exp,0.7612692965038037,2
ITA,Italy,life_exp,0.9836479209423028,0
JPN,Japan,life_exp,1.3492354486641585,0
KOR,"Korea, Rep.",life_exp,0.7735422518887942,1
LTU,Lithuania,life_exp,-1.9559996614209052,1
LUX,Luxembourg,life_exp,0.715474686858314,2
LVA,Latvia,life_exp,-2.149436092563461,1
MEX,Mexico,life_exp,-2.296786660343173,1
NLD,Netherlands,life_exp,0.4712978282285658,2
NOR,Norway,life_exp,0.7929591663784851,2
NZL,New Zealand,life_exp,0.4815741386330191,2
POL,Poland,life_exp,-1.045236464791437,1
PRT,Portugal,life_exp,0.3148634416795905,0
SVK,Slovak Republic,life_exp,-1.2507626728803904,1
SVN,Slovenia,life_exp,0.2558799844561852,0
